match_id,player,team,runs,balls_faced,fours,sixes,wickets,overs_bowled,balls_bowled,runs_conceded,catches,run_outs,maiden,stumps,match_outcome,opposition_team,strike_rate,economy,fantasy_points,venue
1157757,RG Sharma,India,162,143,20,4,0,0,0,0,3,0,0,0,win,West Indies,113.29,0.0,380,Brabourne Stadium
656433,TM Dilshan,Sri Lanka,161,149,22,0,1,8,51,32,0,0,0,0,win,Bangladesh,108.05,3.76,379,Melbourne Cricket Ground
696731,CS MacLeod,Scotland,175,146,14,5,1,1,10,0,0,0,1,0,win,Canada,119.86,0.0,379,Hagley Oval
225254,ST Jayasuriya,Sri Lanka,152,103,20,4,1,5,30,35,0,0,0,0,win,England,147.57,7.0,379,Headingley
656435,AB de Villiers,South Africa,162,67,17,8,0,0,0,0,1,0,0,0,win,West Indies,241.79,0.0,376,Sydney Cricket Ground
1075505,AB de Villiers,South Africa,176,107,15,7,0,0,0,0,1,0,0,0,win,Bangladesh,164.49,0.0,376,Boland Park
1031673,E Lewis,West Indies,176,136,17,7,0,0,0,0,0,0,0,0,loss,England,129.41,0.0,374,Kennington Oval
1000895,DA Warner,Australia,179,129,19,5,0,0,0,0,0,0,0,0,win,Pakistan,138.76,0.0,373,Adelaide Oval
1276294,JS Malhotra,United States of America,173,128,4,16,0,0,0,0,0,0,0,0,win,Papua New Guinea,135.16,0.0,373,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2)
1115778,LRPL Taylor,New Zealand,181,149,17,6,0,0,0,0,0,0,0,0,win,England,121.48,0.0,373,University Oval
1339620,Fakhar Zaman,Pakistan,180,146,17,6,0,0,0,0,0,0,0,0,win,New Zealand,123.29,0.0,372,Rawalpindi Cricket Stadium
1281444,JC Buttler,England,162,71,7,14,0,0,0,0,1,0,0,0,win,Netherlands,228.17,0.0,372,"VRA Ground, Amstelveen"
251496,ML Hayden,Australia,181,167,11,10,0,0,0,0,0,0,0,0,loss,New Zealand,108.38,0.0,371,Seddon Park
236595,A Symonds,Australia,151,129,13,3,2,5,30,32,0,0,1,0,win,Sri Lanka,117.05,6.4,371,Sydney Cricket Ground
416240,SR Tendulkar,India,175,144,19,4,0,0,0,0,1,0,0,0,loss,Australia,121.53,0.0,371,"Rajiv Gandhi International Stadium, Uppal"
566924,MJ Guptill,New Zealand,189,159,19,2,0,0,0,0,1,0,0,0,win,England,118.87,0.0,371,The Rose Bowl
913657,AD Hales,England,171,123,22,4,0,0,0,0,0,0,0,0,win,Pakistan,139.02,0.0,371,Trent Bridge
1174239,AJ Finch,Australia,153,144,12,6,1,10,60,41,0,0,0,0,win,Pakistan,106.25,4.1,370,Sharjah Cricket Stadium
64852,CH Gayle,West Indies,112,80,17,2,4,10,61,23,0,0,1,0,win,Zimbabwe,140.0,2.26,370,Harare Sports Club
1450694,Milind Kumar,United States of America,155,113,16,5,1,4,25,16,0,0,0,0,win,United Arab Emirates,137.17,3.84,370,"United Cricket Club Ground, Windhoek"
1168508,SD Hope,West Indies,170,161,22,2,0,0,0,0,0,0,0,1,win,Ireland,105.59,0.0,368,Castle Avenue
1072310,JJ Roy,England,180,154,16,5,0,0,0,0,1,0,0,0,win,Australia,116.88,0.0,368,Melbourne Cricket Ground
238200,RT Ponting,Australia,164,106,13,9,0,0,0,0,1,0,0,0,loss,South Africa,154.72,0.0,368,New Wanderers Stadium
645635,Shahid Afridi,Pakistan,76,57,6,5,6,9,56,10,0,0,3,0,win,West Indies,133.33,1.07,368,Providence Stadium
65634,ST Jayasuriya,Sri Lanka,122,111,12,4,4,10,60,39,0,0,1,0,win,Australia,109.91,3.9,366,Sydney Cricket Ground
1384414,Q de Kock,South Africa,174,142,15,7,0,0,0,0,0,0,0,0,win,Bangladesh,122.54,0.0,364,"Wankhede Stadium, Mumbai"
1450705,BJ McMullen,Scotland,151,143,11,6,1,7,42,48,1,0,0,0,win,United States of America,105.59,6.86,364,"Grand Prairie Stadium, Dallas"
1377765,PR Stirling,Ireland,162,135,15,8,0,0,0,0,1,0,0,0,win,United Arab Emirates,120.0,0.0,364,Bulawayo Athletic Club
730291,D Ramdin,West Indies,169,122,8,11,0,0,0,0,1,0,0,0,win,Bangladesh,138.52,0.0,363,"Warner Park, Basseterre"
1168508,JD Campbell,West Indies,179,140,15,6,0,0,0,0,0,0,0,0,win,Ireland,127.86,0.0,363,Castle Avenue
597925,WU Tharanga,Sri Lanka,174,164,19,3,0,0,0,0,1,0,0,0,win,India,106.1,0.0,362,"Sabina Park, Kingston"
1384409,DA Warner,Australia,163,131,14,9,0,0,0,0,0,0,0,0,win,Pakistan,124.43,0.0,361,"M Chinnaswamy Stadium, Bengaluru"
792297,AD Mathews,Sri Lanka,139,117,6,10,2,7,42,33,1,0,1,0,loss,India,118.8,4.71,361,JSCA International Stadium Complex
433583,TM Dilshan,Sri Lanka,144,132,16,1,3,3,18,4,0,0,1,0,win,Zimbabwe,109.09,1.33,361,Pallekele International Cricket Stadium
247473,Imran Nazir,Pakistan,160,124,14,8,0,0,0,0,1,0,0,0,win,Zimbabwe,129.03,0.0,360,"Sabina Park, Kingston"
913649,Sharjeel Khan,Pakistan,152,86,16,9,0,0,0,0,0,0,0,0,win,Ireland,176.74,0.0,360,"The Village, Malahide"
430886,TM Dilshan,Sri Lanka,160,128,20,3,0,2,12,26,1,0,0,0,loss,India,125.0,13.0,358,Madhavrao Scindia Cricket Ground
361044,Yuvraj Singh,India,118,125,15,2,4,10,61,27,0,0,0,0,win,England,94.4,2.66,358,Maharani Usharaje Trust Cricket Ground
65646,AC Gilchrist,Australia,172,128,13,3,0,0,0,0,3,0,0,0,win,Zimbabwe,134.38,0.0,358,Bellerive Oval
1075504,Q de Kock,South Africa,168,147,21,2,0,0,0,0,1,0,0,0,win,Bangladesh,114.29,0.0,358,Diamond Oval
936143,DA Warner,Australia,173,139,24,0,0,0,0,0,0,0,0,0,loss,South Africa,124.46,0.0,357,Newlands
65236,CB Wishart,Zimbabwe,172,151,18,3,0,0,0,0,1,0,0,0,win,Namibia,113.91,0.0,356,Harare Sports Club
1348645,V Kohli,India,166,112,13,8,0,0,0,0,0,0,0,0,win,Sri Lanka,148.21,0.0,356,"Greenfield International Stadium, Thiruvananthapuram"
936165,F du Plessis,South Africa,185,144,16,3,0,0,0,0,0,0,0,0,win,Sri Lanka,128.47,0.0,355,Newlands
1388211,Soumya Sarkar,Bangladesh,169,153,22,2,0,0,0,0,0,0,0,0,loss,New Zealand,110.46,0.0,355,"Saxton Oval, Nelson"
1144508,DA Warner,Australia,166,151,14,5,0,0,0,0,2,0,0,0,win,Bangladesh,109.93,0.0,354,Trent Bridge
895807,RG Sharma,India,171,165,13,7,0,1,6,11,0,0,0,0,loss,Australia,103.64,11.0,353,Western Australia Cricket Association Ground
415285,SR Watson,Australia,136,137,10,7,2,8,53,34,0,0,1,0,win,England,99.27,3.85,351,SuperSport Park
656445,HM Amla,South Africa,159,131,16,4,0,0,0,0,2,0,0,0,win,Ireland,121.37,0.0,351,Manuka Oval
1157754,RG Sharma,India,152,118,15,8,0,0,0,0,0,0,0,0,win,West Indies,128.81,0.0,348,Barsapara Cricket Stadium
1377750,Sikandar Raza,Zimbabwe,102,54,6,8,4,10,65,46,0,0,0,0,win,Netherlands,188.89,4.25,347,Harare Sports Club
433558,V Sehwag,India,175,149,14,5,0,0,0,0,0,0,0,0,win,Bangladesh,117.45,0.0,347,Shere Bangla National Stadium
722341,AB de Villiers,South Africa,149,44,9,16,0,0,0,0,0,0,0,0,win,West Indies,338.64,0.0,347,New Wanderers Stadium
1001371,SPD Smith,Australia,164,161,14,4,0,0,0,0,2,0,0,0,win,New Zealand,101.86,0.0,346,Sydney Cricket Ground
1089183,Rohan Mustafa,United Arab Emirates,109,127,7,1,5,8,50,25,0,0,1,0,win,Papua New Guinea,85.83,3.0,344,Sheikh Zayed Stadium
1187022,RG Sharma,India,159,141,17,5,0,0,0,0,0,0,0,0,win,West Indies,112.77,0.0,343,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
366627,SR Tendulkar,India,163,139,16,5,0,0,0,0,0,0,0,0,win,New Zealand,117.27,0.0,343,AMI Stadium
66309,CH Gayle,West Indies,132,167,12,1,3,10,64,53,0,0,0,0,win,England,79.04,4.97,342,Lord's
1384392,DP Conway,New Zealand,152,122,19,3,0,0,0,0,1,0,0,0,win,England,124.59,0.0,342,"Narendra Modi Stadium, Ahmedabad"
426405,AJ Strauss,England,154,142,16,5,0,0,0,0,1,0,0,0,win,Bangladesh,108.45,0.0,342,Edgbaston
1214668,Tamim Iqbal,Bangladesh,158,141,20,3,0,0,0,0,0,0,0,0,win,Zimbabwe,112.06,0.0,342,Sylhet International Cricket Stadium
1211171,CG Williams,Namibia,129,96,13,6,1,10,61,48,2,0,0,0,win,Oman,134.38,4.72,342,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
247507,AC Gilchrist,Australia,149,107,13,8,0,0,0,0,2,0,0,1,win,Sri Lanka,139.25,0.0,341,"Kensington Oval, Bridgetown"
1034821,Yuvraj Singh,India,150,129,21,3,0,0,0,0,0,0,0,0,win,England,116.28,0.0,338,Barabati Stadium
467886,YK Pathan,India,123,100,7,7,3,9,54,49,1,0,0,0,win,New Zealand,123.0,5.44,338,M Chinnaswamy Stadium
656425,MM Ali,England,128,114,12,5,2,10,60,47,0,0,0,0,win,Scotland,112.28,4.7,338,Hagley Oval
1144502,AJ Finch,Australia,153,135,15,5,0,0,0,0,1,0,0,0,win,Sri Lanka,113.33,0.0,337,Kennington Oval
65271,JF Kloppenburg,Netherlands,121,150,6,4,4,10,60,42,0,0,0,0,win,Namibia,80.67,4.2,335,"Goodyear Park, Bloemfontein"
446962,SR Watson,Australia,161,151,12,4,0,8,48,44,0,0,0,0,win,England,106.62,5.5,335,Melbourne Cricket Ground
1144494,JJ Roy,England,153,124,14,5,0,0,0,0,1,0,0,0,win,Bangladesh,123.39,0.0,335,Sophia Gardens
656451,KJ Coetzer,Scotland,156,136,17,4,0,0,0,0,0,0,0,0,loss,Bangladesh,114.71,0.0,334,Saxton Oval
566945,SR Watson,Australia,143,111,12,6,1,9,55,51,0,0,0,0,win,England,128.83,5.56,334,The Rose Bowl
1215125,Aqib Ilyas,Oman,109,109,12,1,4,10,63,33,0,0,0,0,win,Nepal,100.0,3.14,334,Tribhuvan University International Cricket Ground
